county,precinct,office,office,party,candidate,votes,election_day,mail,provisional
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,,Under Votes,56,,,
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,302,148,153,1
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,785,607,174,4
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,11,9,2,0
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,9,8,1,0
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,1,1,0,0
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,,Write-ins,1,0,1,0
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,CHERRY RIDGE TOWNSHIP,STATE TREASURER,,,Under Votes,52,,,
Wayne,CHERRY RIDGE TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,373,198,174,1
Wayne,CHERRY RIDGE TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,765,593,168,4
Wayne,CHERRY RIDGE TOWNSHIP,U.S. House,8,,Write-ins,0,0,0,0
Wayne,CHERRY RIDGE TOWNSHIP,U.S. House,8,,Over Votes,1,,,
Wayne,CHERRY RIDGE TOWNSHIP,U.S. House,8,,Under Votes,23,,,
Wayne,CHERRY RIDGE TOWNSHIP,State House,139,DEM,ROBIN SCHOOLEY SKIBBER,307,158,148,1
Wayne,CHERRY RIDGE TOWNSHIP,State House,139,REP,JEFF OLSOMMER,817,627,186,4
Wayne,CHERRY RIDGE TOWNSHIP,State House,139,,Write-ins,4,2,2,0
Wayne,CHERRY RIDGE TOWNSHIP,State House,139,,Over Votes,0,,,
Wayne,CHERRY RIDGE TOWNSHIP,State House,139,,Under Votes,33,,,
Wayne,CLINTON TOWNSHIP #1,Registered Voters,,,,969,,,
Wayne,CLINTON TOWNSHIP #1,Ballots Cast,,,,817,,,
Wayne,CLINTON TOWNSHIP #1,President,,DEM,KAMALA D HARRIS,234,132,102,0
Wayne,CLINTON TOWNSHIP #1,President,,REP,DONALD J TRUMP,578,460,112,6
Wayne,CLINTON TOWNSHIP #1,President,,LIB,CHASE OLIVER,1,1,0,0
Wayne,CLINTON TOWNSHIP #1,President,,GRN,JILL STEIN,0,0,0,0
Wayne,CLINTON TOWNSHIP #1,President,,,Write-ins,2,1,1,0
Wayne,CLINTON TOWNSHIP #1,President,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #1,President,,,Under Votes,2,,,
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,DEM,ROBERT P CASEY JR,246,144,101,1
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,REP,DAVE MCCORMICK,550,437,108,5
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,LIB,JOHN C THOMAS,11,9,2,0
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,GRN,LEILA HAZOU,3,3,0,0
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,CST,MARTY SELKER,3,1,2,0
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #1,U.S. Senate,,,Under Votes,4,,,
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,223,124,98,1
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,REP,DAVE SUNDAY,562,448,109,5
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,10,8,2,0
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,3,2,1,0
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,8,6,2,0
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,2,2,0,0
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #1,ATTORNEY GENERAL,,,Under Votes,9,,,
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,205,112,93,0
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,REP,TIM DEFOOR,567,457,105,5
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,LIB,REECE SMITH,8,6,1,1
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,ASP,ERIC K ANTON,2,2,0,0
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,CST,BOB GOODRICH,14,10,4,0
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #1,AUDITOR GENERAL,,,Under Votes,21,,,
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,DEM,ERIN MCCLELLAND,204,115,89,0
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,REP,STACY GARRITY,578,460,113,5
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,9,6,2,1
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,CST,TROY BOWMAN,8,7,1,0
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,FWD,CHRIS FOSTER,3,3,0,0
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #1,STATE TREASURER,,,Under Votes,15,,,
Wayne,CLINTON TOWNSHIP #1,U.S. House,8,DEM,MATT CARTWRIGHT,255,149,104,2
Wayne,CLINTON TOWNSHIP #1,U.S. House,8,REP,ROB BRESNAHAN JR,557,445,108,4
Wayne,CLINTON TOWNSHIP #1,U.S. House,8,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #1,U.S. House,8,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #1,U.S. House,8,,Under Votes,5,,,
Wayne,CLINTON TOWNSHIP #1,State House,111,REP,JONATHAN FRITZ,699,536,157,6
Wayne,CLINTON TOWNSHIP #1,State House,111,,Write-ins,20,11,9,0
Wayne,CLINTON TOWNSHIP #1,State House,111,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #1,State House,111,,Under Votes,98,,,
Wayne,CLINTON TOWNSHIP #2,Registered Voters,,,,597,,,
Wayne,CLINTON TOWNSHIP #2,Ballots Cast,,,,494,,,
Wayne,CLINTON TOWNSHIP #2,President,,DEM,KAMALA D HARRIS,176,130,46,0
Wayne,CLINTON TOWNSHIP #2,President,,REP,DONALD J TRUMP,316,255,60,1
Wayne,CLINTON TOWNSHIP #2,President,,LIB,CHASE OLIVER,0,0,0,0
Wayne,CLINTON TOWNSHIP #2,President,,GRN,JILL STEIN,1,1,0,0
Wayne,CLINTON TOWNSHIP #2,President,,,Write-ins,1,0,1,0
Wayne,CLINTON TOWNSHIP #2,President,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #2,President,,,Under Votes,0,,,
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,DEM,ROBERT P CASEY JR,180,134,46,0
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,REP,DAVE MCCORMICK,303,242,60,1
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,LIB,JOHN C THOMAS,2,2,0,0
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,GRN,LEILA HAZOU,3,2,1,0
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,,Write-ins,1,1,0,0
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #2,U.S. Senate,,,Under Votes,3,,,
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,172,126,46,0
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,REP,DAVE SUNDAY,307,246,60,1
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,6,6,0,0
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,4,3,1,0
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,1,1,0,0
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,0,0,0,0
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #2,ATTORNEY GENERAL,,,Under Votes,4,,,
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,161,116,45,0
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,REP,TIM DEFOOR,307,244,62,1
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,LIB,REECE SMITH,10,10,0,0
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,ASP,ERIC K ANTON,0,0,0,0
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,CST,BOB GOODRICH,4,4,0,0
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #2,AUDITOR GENERAL,,,Under Votes,12,,,
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,DEM,ERIN MCCLELLAND,166,122,44,0
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,REP,STACY GARRITY,310,249,60,1
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,5,5,0,0
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,CST,TROY BOWMAN,2,1,1,0
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,FWD,CHRIS FOSTER,0,0,0,0
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,,Write-ins,2,1,1,0
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,,Over Votes,1,,,
Wayne,CLINTON TOWNSHIP #2,STATE TREASURER,,,Under Votes,8,,,
Wayne,CLINTON TOWNSHIP #2,U.S. House,8,DEM,MATT CARTWRIGHT,191,146,45,0
Wayne,CLINTON TOWNSHIP #2,U.S. House,8,REP,ROB BRESNAHAN JR,299,236,62,1
Wayne,CLINTON TOWNSHIP #2,U.S. House,8,,Write-ins,0,0,0,0
Wayne,CLINTON TOWNSHIP #2,U.S. House,8,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #2,U.S. House,8,,Under Votes,4,,,
Wayne,CLINTON TOWNSHIP #2,State House,111,REP,JONATHAN FRITZ,406,324,81,1
Wayne,CLINTON TOWNSHIP #2,State House,111,,Write-ins,12,8,4,0
Wayne,CLINTON TOWNSHIP #2,State House,111,,Over Votes,0,,,
Wayne,CLINTON TOWNSHIP #2,State House,111,,Under Votes,76,,,
Wayne,DAMASCUS TOWNSHIP #1,Registered Voters,,,,1181,,,
Wayne,DAMASCUS TOWNSHIP #1,Ballots Cast,,,,999,,,
Wayne,DAMASCUS TOWNSHIP #1,President,,DEM,KAMALA D HARRIS,307,171,136,0
Wayne,DAMASCUS TOWNSHIP #1,President,,REP,DONALD J TRUMP,675,465,207,3
Wayne,DAMASCUS TOWNSHIP #1,President,,LIB,CHASE OLIVER,5,4,1,0
Wayne,DAMASCUS TOWNSHIP #1,President,,GRN,JILL STEIN,4,3,1,0
Wayne,DAMASCUS TOWNSHIP #1,President,,,Write-ins,4,2,2,0
Wayne,DAMASCUS TOWNSHIP #1,President,,,Over Votes,3,,,
Wayne,DAMASCUS TOWNSHIP #1,President,,,Under Votes,1,,,
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,DEM,ROBERT P CASEY JR,315,179,136,0
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,REP,DAVE MCCORMICK,654,446,205,3
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,LIB,JOHN C THOMAS,16,13,3,0
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,GRN,LEILA HAZOU,5,3,2,0
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,,Over Votes,0,,,
Wayne,DAMASCUS TOWNSHIP #1,U.S. Senate,,,Under Votes,7,,,
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,278,160,118,0
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,REP,DAVE SUNDAY,668,451,214,3
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,16,13,3,0
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,10,9,1,0
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,5,4,1,0
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,1,1,0,0
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,DAMASCUS TOWNSHIP #1,ATTORNEY GENERAL,,,Under Votes,17,,,
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,268,150,118,0
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,REP,TIM DEFOOR,669,453,213,3
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,LIB,REECE SMITH,21,18,3,0
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,ASP,ERIC K ANTON,0,0,0,0
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,CST,BOB GOODRICH,6,4,2,0
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,DAMASCUS TOWNSHIP #1,AUDITOR GENERAL,,,Under Votes,31,,,
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,DEM,ERIN MCCLELLAND,267,150,117,0
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,REP,STACY GARRITY,678,462,213,3
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,13,10,3,0
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,CST,TROY BOWMAN,8,5,3,0
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,FWD,CHRIS FOSTER,2,2,0,0
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,,Over Votes,0,,,
Wayne,DAMASCUS TOWNSHIP #1,STATE TREASURER,,,Under Votes,27,,,
Wayne,DAMASCUS TOWNSHIP #1,U.S. House,8,DEM,MATT CARTWRIGHT,331,188,142,1
Wayne,DAMASCUS TOWNSHIP #1,U.S. House,8,REP,ROB BRESNAHAN JR,648,444,202,2
Wayne,DAMASCUS TOWNSHIP #1,U.S. House,8,,Write-ins,0,0,0,0
Wayne,DAMASCUS TOWNSHIP #1,U.S. House,8,,Over Votes,2,,,
Wayne,DAMASCUS TOWNSHIP #1,U.S. House,8,,Under Votes,18,,,
Wayne,DAMASCUS TOWNSHIP #1,State House,111,REP,JONATHAN FRITZ,775,530,242,3
Wayne,DAMASCUS TOWNSHIP #1,State House,111,,Write-ins,41,24,17,0
Wayne,DAMASCUS TOWNSHIP #1,State House,111,,Over Votes,0,,,
Wayne,DAMASCUS TOWNSHIP #1,State House,111,,Under Votes,179,,,
Wayne,DAMASCUS TOWNSHIP #2,Registered Voters,,,,1649,,,
Wayne,DAMASCUS TOWNSHIP #2,Ballots Cast,,,,1357,,,
Wayne,DAMASCUS TOWNSHIP #2,President,,DEM,KAMALA D HARRIS,405,194,208,3
Wayne,DAMASCUS TOWNSHIP #2,President,,REP,DONALD J TRUMP,929,681,240,8
Wayne,DAMASCUS TOWNSHIP #2,President,,LIB,CHASE OLIVER,5,4,1,0
Wayne,DAMASCUS TOWNSHIP #2,President,,GRN,JILL STEIN,10,5,5,0
Wayne,DAMASCUS TOWNSHIP #2,President,,,Write-ins,1,1,0,0
Wayne,DAMASCUS TOWNSHIP #2,President,,,Over Votes,3,,,
Wayne,DAMASCUS TOWNSHIP #2,President,,,Under Votes,4,,,
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,DEM,ROBERT P CASEY JR,416,203,210,3
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,REP,DAVE MCCORMICK,900,662,230,8
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,LIB,JOHN C THOMAS,9,8,1,0
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,GRN,LEILA HAZOU,13,8,5,0
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,CST,MARTY SELKER,9,4,5,0
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,,Write-ins,1,1,0,0
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,,Over Votes,2,,,
Wayne,DAMASCUS TOWNSHIP #2,U.S. Senate,,,Under Votes,7,,,
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,379,181,194,4
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,REP,DAVE SUNDAY,911,672,232,7
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,16,14,2,0
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,11,4,7,0
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,14,9,5,0
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,2,1,1,0
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,,Write-ins,2,1,1,0
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,,Over Votes,1,,,
Wayne,DAMASCUS TOWNSHIP #2,ATTORNEY GENERAL,,,Under Votes,18,,,
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,370,172,195,3
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,REP,TIM DEFOOR,895,658,230,7
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,LIB,REECE SMITH,24,18,6,0
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,ASP,ERIC K ANTON,2,1,1,0
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,CST,BOB GOODRICH,18,12,6,0
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,,Write-ins,2,1,1,0
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,,Over Votes,2,,,
Wayne,DAMASCUS TOWNSHIP #2,AUDITOR GENERAL,,,Under Votes,41,,,
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,DEM,ERIN MCCLELLAND,377,176,198,3
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,REP,STACY GARRITY,913,670,236,7
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,16,14,2,0
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,CST,TROY BOWMAN,8,5,3,0
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,FWD,CHRIS FOSTER,1,1,0,0
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,,Write-ins,2,1,1,0
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,,Over Votes,1,,,
Wayne,DAMASCUS TOWNSHIP #2,STATE TREASURER,,,Under Votes,36,,,
Wayne,DAMASCUS TOWNSHIP #2,U.S. House,8,DEM,MATT CARTWRIGHT,439,221,215,3
Wayne,DAMASCUS TOWNSHIP #2,U.S. House,8,REP,ROB BRESNAHAN JR,892,652,233,7
Wayne,DAMASCUS TOWNSHIP #2,U.S. House,8,,Write-ins,3,2,1,0
Wayne,DAMASCUS TOWNSHIP #2,U.S. House,8,,Over Votes,1,,,
Wayne,DAMASCUS TOWNSHIP #2,U.S. House,8,,Under Votes,22,,,
Wayne,DAMASCUS TOWNSHIP #2,State House,111,REP,JONATHAN FRITZ,1091,765,318,8
Wayne,DAMASCUS TOWNSHIP #2,State House,111,,Write-ins,49,21,27,1
Wayne,DAMASCUS TOWNSHIP #2,State House,111,,Over Votes,1,,,
Wayne,DAMASCUS TOWNSHIP #2,State House,111,,Under Votes,213,,,
Wayne,DREHER TOWNSHIP,Registered Voters,,,,1009,,,
Wayne,DREHER TOWNSHIP,Ballots Cast,,,,781,,,
Wayne,DREHER TOWNSHIP,President,,DEM,KAMALA D HARRIS,244,149,95,0
Wayne,DREHER TOWNSHIP,President,,REP,DONALD J TRUMP,527,406,113,8
Wayne,DREHER TOWNSHIP,President,,LIB,CHASE OLIVER,5,4,1,0
Wayne,DREHER TOWNSHIP,President,,GRN,JILL STEIN,2,1,1,0
Wayne,DREHER TOWNSHIP,President,,,Write-ins,2,2,0,0
Wayne,DREHER TOWNSHIP,President,,,Over Votes,0,,,
Wayne,DREHER TOWNSHIP,President,,,Under Votes,1,,,
Wayne,DREHER TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,240,149,91,0
Wayne,DREHER TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,514,393,113,8
Wayne,DREHER TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,10,9,1,0
Wayne,DREHER TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,8,3,5,0
Wayne,DREHER TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,3,3,0,0
Wayne,DREHER TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,DREHER TOWNSHIP,U.S. Senate,,,Over Votes,1,,,
Wayne,DREHER TOWNSHIP,U.S. Senate,,,Under Votes,5,,,
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,221,139,82,0
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,511,384,119,8
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,13,12,1,0
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,13,8,5,0
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,13,11,2,0
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,1,1,0,0
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,1,1,0,0
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,DREHER TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,7,,,
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,215,133,82,0
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,506,381,118,7
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,21,18,3,0
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,2,2,0,0
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,15,13,2,0
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,,Write-ins,1,1,0,0
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,DREHER TOWNSHIP,AUDITOR GENERAL,,,Under Votes,20,,,
Wayne,DREHER TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,217,128,89,0
Wayne,DREHER TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,518,397,115,6
Wayne,DREHER TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,15,13,2,0
Wayne,DREHER TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,11,10,1,0
Wayne,DREHER TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,1,1,0,0
Wayne,DREHER TOWNSHIP,STATE TREASURER,,,Write-ins,1,1,0,0
Wayne,DREHER TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,DREHER TOWNSHIP,STATE TREASURER,,,Under Votes,17,,,
Wayne,DREHER TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,253,155,97,1
Wayne,DREHER TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,510,397,106,7
Wayne,DREHER TOWNSHIP,U.S. House,8,,Write-ins,2,1,1,0
Wayne,DREHER TOWNSHIP,U.S. House,8,,Over Votes,1,,,
Wayne,DREHER TOWNSHIP,U.S. House,8,,Under Votes,15,,,
Wayne,DREHER TOWNSHIP,State House,139,DEM,ROBIN SCHOOLEY SKIBBER,211,127,84,0
Wayne,DREHER TOWNSHIP,State House,139,REP,JEFF OLSOMMER,559,427,124,8
Wayne,DREHER TOWNSHIP,State House,139,,Write-ins,0,0,0,0
Wayne,DREHER TOWNSHIP,State House,139,,Over Votes,0,,,
Wayne,DREHER TOWNSHIP,State House,139,,Under Votes,10,,,
Wayne,DYBERRY TOWNSHIP,Registered Voters,,,,1099,,,
Wayne,DYBERRY TOWNSHIP,Ballots Cast,,,,929,,,
Wayne,DYBERRY TOWNSHIP,President,,DEM,KAMALA D HARRIS,319,173,146,0
Wayne,DYBERRY TOWNSHIP,President,,REP,DONALD J TRUMP,593,457,132,4
Wayne,DYBERRY TOWNSHIP,President,,LIB,CHASE OLIVER,7,4,3,0
Wayne,DYBERRY TOWNSHIP,President,,GRN,JILL STEIN,1,1,0,0
Wayne,DYBERRY TOWNSHIP,President,,,Write-ins,4,1,3,0
Wayne,DYBERRY TOWNSHIP,President,,,Over Votes,0,,,
Wayne,DYBERRY TOWNSHIP,President,,,Under Votes,5,,,
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,331,189,142,0
Wayne,DYBERRY TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,572,431,137,4
