county,precint,office,district,party,candidate,votes
Clearfield,COALPORT BOROUGH,Registered Voters - Total, , ,Registered Voters - Total,235
Clearfield,COALPORT BOROUGH,Registered Voters - DEMOCRATIC, ,DEM,Registered Voters - DEMOCRATIC,92
Clearfield,COALPORT BOROUGH,Registered Voters - REPUBLICAN, ,REP,Registered Voters - REPUBLICAN,143
Clearfield,COALPORT BOROUGH,Registered Voters - NONPARTISAN, ,NPA,Registered Voters - NONPARTISAN,0
Clearfield,COALPORT BOROUGH,Ballots Cast - Total, , ,Ballots Cast - Total,100
Clearfield,COALPORT BOROUGH,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,35
Clearfield,COALPORT BOROUGH,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,65
Clearfield,COALPORT BOROUGH,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,2
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R BIDEN,24
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,3
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,3
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: DONALD J TRUMP,3
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: SCATTERED,0
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,  Not Assigned,0
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,32
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,DEM,Write-In Totals,0
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: HEATHER HEIDELBAUGH,0
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,DEM,  Not Assigned,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,24
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,5
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,NINA AHMAD,2
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,2
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: TIMOTHY DEFOOR,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,DEM,  Not Assigned,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,DEM,JOE TORSELLA,29
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,DEM,Write-In Totals,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,DEM,   Write-In: STACEY GARRITY,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,DEM,   Write-In: SCATTERED,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,DEM,  Not Assigned,0
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,ROBERT WILLIAMS,30
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,1
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: GLENN GT THOMPSON,0
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: SCATTERED,1
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,  Not Assigned,0
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,Write-In Totals,2
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: SCATTERED,2
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: TOMMY SANKEY,0
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,  Not Assigned,0
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J TRUMP,60
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,2
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,2
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: BERNIE SANDERS,0
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: JOSEPH BIDEN,1
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: SCATTERED,1
Clearfield,COALPORT BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,  Not Assigned,0
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,59
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: SCATTERED,1
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: JOSH SHAPIRO,0
Clearfield,COALPORT BOROUGH,ATTORNEY GENERAL, ,REP,  Not Assigned,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,58
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,Write-In Totals,1
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: NINA AHMAD,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: TRACIE FOUNTAIN,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCATTERED,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: MICHAEL LAMB,0
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCOTT CONKLIN,1
Clearfield,COALPORT BOROUGH,AUDITOR GENERAL, ,REP,  Not Assigned,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,REP,STACY L GARRITY,59
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,REP,Write-In Totals,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,REP,   Write-In: JOE TORSELLA,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,REP,   Write-In: SCATTERED,0
Clearfield,COALPORT BOROUGH,STATE TREASURER, ,REP,  Not Assigned,0
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,GLENN GT THOMPSON,61
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: ROBERT WILLIAMS,0
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: SCATTERED,1
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,  Not Assigned,0
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,TOMMY SANKEY,63
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,Write-In Totals,2
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,   Write-In: SCATTERED,2
Clearfield,COALPORT BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,Registered Voters - Total, , ,Registered Voters - Total,698
Clearfield,CURWENSVILLE BOROUGH,Registered Voters - DEMOCRATIC, ,DEM,Registered Voters - DEMOCRATIC,94
Clearfield,CURWENSVILLE BOROUGH,Registered Voters - REPUBLICAN, ,REP,Registered Voters - REPUBLICAN,604
Clearfield,CURWENSVILLE BOROUGH,Registered Voters - NONPARTISAN, ,NPA,Registered Voters - NONPARTISAN,0
Clearfield,CURWENSVILLE BOROUGH,Ballots Cast - Total, , ,Ballots Cast - Total,497
Clearfield,CURWENSVILLE BOROUGH,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,257
Clearfield,CURWENSVILLE BOROUGH,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,240
Clearfield,CURWENSVILLE BOROUGH,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,46
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R BIDEN,165
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,14
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,21
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: DONALD J TRUMP,15
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: SCATTERED,6
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,238
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,DEM,Write-In Totals,1
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: HEATHER HEIDELBAUGH,1
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,DEM,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,205
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,11
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,5
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,2
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,NINA AHMAD,13
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,7
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,Write-In Totals,1
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: TIMOTHY DEFOOR,1
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,DEM,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,DEM,JOE TORSELLA,231
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,DEM,Write-In Totals,2
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,DEM,   Write-In: STACEY GARRITY,2
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,DEM,   Write-In: SCATTERED,0
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,DEM,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,ROBERT WILLIAMS,232
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,4
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: GLENN GT THOMPSON,2
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: SCATTERED,2
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,Write-In Totals,12
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: SCATTERED,9
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: TOMMY SANKEY,3
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J TRUMP,226
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,4
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,6
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,2
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: BERNIE SANDERS,0
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: JOSEPH BIDEN,0
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: SCATTERED,2
Clearfield,CURWENSVILLE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,212
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: SCATTERED,1
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: JOSH SHAPIRO,0
Clearfield,CURWENSVILLE BOROUGH,ATTORNEY GENERAL, ,REP,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,206
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,Write-In Totals,1
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: NINA AHMAD,0
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: TRACIE FOUNTAIN,0
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCATTERED,1
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: MICHAEL LAMB,0
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCOTT CONKLIN,0
Clearfield,CURWENSVILLE BOROUGH,AUDITOR GENERAL, ,REP,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,REP,STACY L GARRITY,214
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,REP,Write-In Totals,2
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,REP,   Write-In: JOE TORSELLA,0
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,REP,   Write-In: SCATTERED,2
Clearfield,CURWENSVILLE BOROUGH,STATE TREASURER, ,REP,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,GLENN GT THOMPSON,227
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: ROBERT WILLIAMS,0
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: SCATTERED,1
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,  Not Assigned,0
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,TOMMY SANKEY,228
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,Write-In Totals,2
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,   Write-In: SCATTERED,2
Clearfield,CURWENSVILLE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,Registered Voters - Total, , ,Registered Voters - Total,618
Clearfield,DUBOIS CITY - 1ST WARD,Registered Voters - DEMOCRATIC, ,DEM,Registered Voters - DEMOCRATIC,273
Clearfield,DUBOIS CITY - 1ST WARD,Registered Voters - REPUBLICAN, ,REP,Registered Voters - REPUBLICAN,345
Clearfield,DUBOIS CITY - 1ST WARD,Registered Voters - NONPARTISAN, ,NPA,Registered Voters - NONPARTISAN,0
Clearfield,DUBOIS CITY - 1ST WARD,Ballots Cast - Total, , ,Ballots Cast - Total,247
Clearfield,DUBOIS CITY - 1ST WARD,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,103
Clearfield,DUBOIS CITY - 1ST WARD,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,144
Clearfield,DUBOIS CITY - 1ST WARD,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,18
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R BIDEN,59
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,10
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,8
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: DONALD J TRUMP,7
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: SCATTERED,1
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,DEM,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,95
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,DEM,Write-In Totals,0
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,DEM,   Write-In: HEATHER HEIDELBAUGH,0
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,DEM,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,66
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,15
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,5
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,NINA AHMAD,6
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,3
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,   Write-In: TIMOTHY DEFOOR,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,DEM,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,DEM,JOE TORSELLA,90
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,DEM,Write-In Totals,1
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,DEM,   Write-In: STACEY GARRITY,0
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,DEM,   Write-In: SCATTERED,1
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,DEM,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,DEM,ROBERT WILLIAMS,89
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,4
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: GLENN GT THOMPSON,0
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: SCATTERED,4
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,DEM,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,DEM,RYAN GRIMM,85
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,DEM,Write-In Totals,7
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,DEM,   Write-In: MICHAEL CLEMENT,1
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,DEM,   Write-In: SCATTERED,2
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,DEM,   Write-In: MIKE ARMANINI,2
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,DEM,   Write-In: LISA A LABRASCA BECKER,2
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,DEM,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J TRUMP,133
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,4
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,3
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,2
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: BERNIE SANDERS,0
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: JOSEPH BIDEN,1
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: SCATTERED,1
Clearfield,DUBOIS CITY - 1ST WARD,PRESIDENT OF THE UNITED STATES, ,REP,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,124
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,REP,   Write-In: SCATTERED,1
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,REP,   Write-In: JOSH SHAPIRO,0
Clearfield,DUBOIS CITY - 1ST WARD,ATTORNEY GENERAL, ,REP,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,114
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,Write-In Totals,1
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,   Write-In: NINA AHMAD,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,   Write-In: TRACIE FOUNTAIN,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,   Write-In: SCATTERED,1
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,   Write-In: MICHAEL LAMB,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,   Write-In: SCOTT CONKLIN,0
Clearfield,DUBOIS CITY - 1ST WARD,AUDITOR GENERAL, ,REP,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,REP,STACY L GARRITY,121
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,REP,Write-In Totals,1
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,REP,   Write-In: JOE TORSELLA,0
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,REP,   Write-In: SCATTERED,1
Clearfield,DUBOIS CITY - 1ST WARD,STATE TREASURER, ,REP,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,REP,GLENN GT THOMPSON,131
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: ROBERT WILLIAMS,0
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: SCATTERED,1
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN CONGRESS, ,REP,  Not Assigned,0
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,REP,MIKE ARMANINI,30
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,REP,MICHAEL CLEMENT,27
Clearfield,DUBOIS CITY - 1ST WARD,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 75TH, ,REP,LISA A LABRASCA BECKER,86
