county,precint,office,district,party,candidate,votes
Beaver,BEAVER FALLS 1,Ballots Cast - Total, , ,Ballots Cast - Total,301
Beaver,BEAVER FALLS 1,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,227
Beaver,BEAVER FALLS 1,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,67
Beaver,BEAVER FALLS 1,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,7
Beaver,BEAVER FALLS 1,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,46
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,162
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,8
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,7
Beaver,BEAVER FALLS 1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,208
Beaver,BEAVER FALLS 1,ATTORNEY GENERAL, ,DEM,Write-In Totals,1
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,8
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,136
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,5
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,DEM,NINA AHMAD,39
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,13
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 1,STATE TREASURER, ,DEM,JOE TORSELLA,196
Beaver,BEAVER FALLS 1,STATE TREASURER, ,DEM,Write-In Totals,1
Beaver,BEAVER FALLS 1,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,211
Beaver,BEAVER FALLS 1,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,3
Beaver,BEAVER FALLS 1,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,KOLBE COLE,216
Beaver,BEAVER FALLS 1,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,59
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,1
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,3
Beaver,BEAVER FALLS 1,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,52
Beaver,BEAVER FALLS 1,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,49
Beaver,BEAVER FALLS 1,AUDITOR GENERAL, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 1,STATE TREASURER, ,REP,STACY L. GARRITY,48
Beaver,BEAVER FALLS 1,STATE TREASURER, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 1,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,49
Beaver,BEAVER FALLS 1,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 1,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,AARON BERNSTINE,58
Beaver,BEAVER FALLS 1,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 2,Ballots Cast - Total, , ,Ballots Cast - Total,224
Beaver,BEAVER FALLS 2,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,165
Beaver,BEAVER FALLS 2,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,54
Beaver,BEAVER FALLS 2,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,5
Beaver,BEAVER FALLS 2,Ballots Cast - Blank, , ,Ballots Cast - Blank,1
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,24
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,125
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,3
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,8
Beaver,BEAVER FALLS 2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,141
Beaver,BEAVER FALLS 2,ATTORNEY GENERAL, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,4
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,100
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,12
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,3
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,DEM,NINA AHMAD,22
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,10
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 2,STATE TREASURER, ,DEM,JOE TORSELLA,138
Beaver,BEAVER FALLS 2,STATE TREASURER, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 2,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,153
Beaver,BEAVER FALLS 2,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,1
Beaver,BEAVER FALLS 2,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,KOLBE COLE,154
Beaver,BEAVER FALLS 2,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,46
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,1
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,1
Beaver,BEAVER FALLS 2,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,3
Beaver,BEAVER FALLS 2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,42
Beaver,BEAVER FALLS 2,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,40
Beaver,BEAVER FALLS 2,AUDITOR GENERAL, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 2,STATE TREASURER, ,REP,STACY L. GARRITY,40
Beaver,BEAVER FALLS 2,STATE TREASURER, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 2,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,42
Beaver,BEAVER FALLS 2,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 2,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,AARON BERNSTINE,43
Beaver,BEAVER FALLS 2,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,Write-In Totals,5
Beaver,BEAVER FALLS 3,Ballots Cast - Total, , ,Ballots Cast - Total,254
Beaver,BEAVER FALLS 3,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,191
Beaver,BEAVER FALLS 3,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,58
Beaver,BEAVER FALLS 3,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,5
Beaver,BEAVER FALLS 3,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,32
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,141
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,6
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,6
Beaver,BEAVER FALLS 3,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,179
Beaver,BEAVER FALLS 3,ATTORNEY GENERAL, ,DEM,Write-In Totals,1
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,2
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,118
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,13
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,DEM,NINA AHMAD,35
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,8
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 3,STATE TREASURER, ,DEM,JOE TORSELLA,166
Beaver,BEAVER FALLS 3,STATE TREASURER, ,DEM,Write-In Totals,1
Beaver,BEAVER FALLS 3,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,181
Beaver,BEAVER FALLS 3,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 3,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,KOLBE COLE,181
Beaver,BEAVER FALLS 3,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,Write-In Totals,1
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,48
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,3
Beaver,BEAVER FALLS 3,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,4
Beaver,BEAVER FALLS 3,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,53
Beaver,BEAVER FALLS 3,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,48
Beaver,BEAVER FALLS 3,AUDITOR GENERAL, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 3,STATE TREASURER, ,REP,STACY L. GARRITY,52
Beaver,BEAVER FALLS 3,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 3,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,50
Beaver,BEAVER FALLS 3,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 3,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,AARON BERNSTINE,53
Beaver,BEAVER FALLS 3,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 4,Ballots Cast - Total, , ,Ballots Cast - Total,171
Beaver,BEAVER FALLS 4,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,121
Beaver,BEAVER FALLS 4,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,45
Beaver,BEAVER FALLS 4,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,5
Beaver,BEAVER FALLS 4,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,17
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,97
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,1
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,5
Beaver,BEAVER FALLS 4,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,108
Beaver,BEAVER FALLS 4,ATTORNEY GENERAL, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,2
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,87
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,1
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,DEM,NINA AHMAD,16
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,5
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 4,STATE TREASURER, ,DEM,JOE TORSELLA,104
Beaver,BEAVER FALLS 4,STATE TREASURER, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 4,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,113
Beaver,BEAVER FALLS 4,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 4,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,KOLBE COLE,115
Beaver,BEAVER FALLS 4,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,Write-In Totals,0
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,43
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,1
Beaver,BEAVER FALLS 4,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 4,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,39
Beaver,BEAVER FALLS 4,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,38
Beaver,BEAVER FALLS 4,AUDITOR GENERAL, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 4,STATE TREASURER, ,REP,STACY L. GARRITY,39
Beaver,BEAVER FALLS 4,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 4,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,42
Beaver,BEAVER FALLS 4,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 4,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,AARON BERNSTINE,44
Beaver,BEAVER FALLS 4,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 5,Ballots Cast - Total, , ,Ballots Cast - Total,256
Beaver,BEAVER FALLS 5,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,130
Beaver,BEAVER FALLS 5,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,118
Beaver,BEAVER FALLS 5,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,8
Beaver,BEAVER FALLS 5,Ballots Cast - Blank, , ,Ballots Cast - Blank,1
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,27
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,91
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,3
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,5
Beaver,BEAVER FALLS 5,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,113
Beaver,BEAVER FALLS 5,ATTORNEY GENERAL, ,DEM,Write-In Totals,3
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,0
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,69
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,7
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,DEM,NINA AHMAD,24
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,9
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 5,STATE TREASURER, ,DEM,JOE TORSELLA,102
Beaver,BEAVER FALLS 5,STATE TREASURER, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 5,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,115
Beaver,BEAVER FALLS 5,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 5,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,KOLBE COLE,119
Beaver,BEAVER FALLS 5,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,82
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,3
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,8
Beaver,BEAVER FALLS 5,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,10
Beaver,BEAVER FALLS 5,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,93
Beaver,BEAVER FALLS 5,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,90
Beaver,BEAVER FALLS 5,AUDITOR GENERAL, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 5,STATE TREASURER, ,REP,STACY L. GARRITY,90
Beaver,BEAVER FALLS 5,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 5,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,94
Beaver,BEAVER FALLS 5,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 5,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,AARON BERNSTINE,100
Beaver,BEAVER FALLS 5,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,Write-In Totals,6
Beaver,BEAVER FALLS 6,Ballots Cast - Total, , ,Ballots Cast - Total,289
Beaver,BEAVER FALLS 6,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,172
Beaver,BEAVER FALLS 6,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,110
Beaver,BEAVER FALLS 6,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,7
Beaver,BEAVER FALLS 6,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,28
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,122
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,2
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,14
Beaver,BEAVER FALLS 6,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,155
Beaver,BEAVER FALLS 6,ATTORNEY GENERAL, ,DEM,Write-In Totals,3
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,3
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,116
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,4
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,6
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,DEM,NINA AHMAD,28
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,5
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,DEM,Write-In Totals,2
Beaver,BEAVER FALLS 6,STATE TREASURER, ,DEM,JOE TORSELLA,156
Beaver,BEAVER FALLS 6,STATE TREASURER, ,DEM,Write-In Totals,3
Beaver,BEAVER FALLS 6,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,157
Beaver,BEAVER FALLS 6,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,6
Beaver,BEAVER FALLS 6,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,KOLBE COLE,156
Beaver,BEAVER FALLS 6,REP IN THE GENERAL ASSEMBLY 10TH DIST, ,DEM,Write-In Totals,4
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,93
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,4
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,5
Beaver,BEAVER FALLS 6,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,4
Beaver,BEAVER FALLS 6,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,96
Beaver,BEAVER FALLS 6,ATTORNEY GENERAL, ,REP,Write-In Totals,2
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,98
Beaver,BEAVER FALLS 6,AUDITOR GENERAL, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 6,STATE TREASURER, ,REP,STACY L. GARRITY,96
Beaver,BEAVER FALLS 6,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,BEAVER FALLS 6,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,101
Beaver,BEAVER FALLS 6,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,BEAVER FALLS 6,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,AARON BERNSTINE,103
Beaver,BEAVER FALLS 6,REP IN THE GENERAL ASSEMBLY 10TH DISTRICT, ,REP,Write-In Totals,0
Beaver,BIG BEAVER BORO,Ballots Cast - Total, , ,Ballots Cast - Total,522
Beaver,BIG BEAVER BORO,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,275
Beaver,BIG BEAVER BORO,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,247
Beaver,BIG BEAVER BORO,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,BIG BEAVER BORO,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,37
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,186
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,19
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,21
Beaver,BIG BEAVER BORO,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,242
Beaver,BIG BEAVER BORO,ATTORNEY GENERAL, ,DEM,Write-In Totals,4
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,10
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,193
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,10
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,DEM,NINA AHMAD,21
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,15
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,DEM,Write-In Totals,6
Beaver,BIG BEAVER BORO,STATE TREASURER, ,DEM,JOE TORSELLA,234
Beaver,BIG BEAVER BORO,STATE TREASURER, ,DEM,Write-In Totals,4
Beaver,BIG BEAVER BORO,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,250
Beaver,BIG BEAVER BORO,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,8
Beaver,BIG BEAVER BORO,REP IN THE GENERAL ASSEMBLY 14TH DISTRICT, ,DEM,ZACHARY WILSON,245
Beaver,BIG BEAVER BORO,REP IN THE GENERAL ASSEMBLY 14TH DISTRICT, ,DEM,Write-In Totals,8
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,232
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,1
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,8
Beaver,BIG BEAVER BORO,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,4
Beaver,BIG BEAVER BORO,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,228
Beaver,BIG BEAVER BORO,ATTORNEY GENERAL, ,REP,Write-In Totals,2
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,228
Beaver,BIG BEAVER BORO,AUDITOR GENERAL, ,REP,Write-In Totals,1
Beaver,BIG BEAVER BORO,STATE TREASURER, ,REP,STACY L. GARRITY,229
Beaver,BIG BEAVER BORO,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,BIG BEAVER BORO,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,228
Beaver,BIG BEAVER BORO,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Beaver,BIG BEAVER BORO,REP IN THE GENERAL ASSEMBLY 14TH DISTRICT, ,REP,JIM MARSHALL,234
Beaver,BIG BEAVER BORO,REP IN THE GENERAL ASSEMBLY 14TH DISTRICT, ,REP,Write-In Totals,0
Beaver,VANPORT TWP,Ballots Cast - Total, , ,Ballots Cast - Total,418
Beaver,VANPORT TWP,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,280
Beaver,VANPORT TWP,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,138
