county,precinct,office,district,party,candidate,votes,absentee_mail,election_day
Chester,230 E FALLOWFIELD W,Ballots Cast, ,REP, ,391,182,209
Chester,230 E FALLOWFIELD W,Ballots Cast, ,NPA, ,0,0,0
Chester,230 E FALLOWFIELD W,President, ,DEM,BERNIE SANDERS,94,63,31
Chester,230 E FALLOWFIELD W,President, ,DEM,JOSEPH R BIDEN,535,386,149
Chester,230 E FALLOWFIELD W,President, ,DEM,TULSI GABBARD,7,3,4
Chester,230 E FALLOWFIELD W,President, ,DEM,Write-In Totals,5,1,4
Chester,230 E FALLOWFIELD W,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,583,416,167
Chester,230 E FALLOWFIELD W,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,21,12,9
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,28,24,4
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,36,34,2
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,14,12,2
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,DEM,NINA AHMAD,237,164,73
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,242,161,81
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,230 E FALLOWFIELD W,STATE TREASURER, ,DEM,JOE TORSELLA,565,400,165
Chester,230 E FALLOWFIELD W,STATE TREASURER, ,DEM,Write-In Totals,2,2,0
Chester,230 E FALLOWFIELD W,U.S. House,6,DEM,CHRISSY HOULAHAN,609,435,174
Chester,230 E FALLOWFIELD W,U.S. House,6,DEM,Write-In Totals,4,0,4
Chester,230 E FALLOWFIELD W,State House,74,DEM,DAN K WILLIAMS,591,417,174
Chester,230 E FALLOWFIELD W,State House,74,DEM,Write-In Totals,2,2,0
Chester,230 E FALLOWFIELD W,President, ,REP,DONALD J TRUMP,322,136,186
Chester,230 E FALLOWFIELD W,President, ,REP,ROQUE ROCKY DE LA FUENTE,7,4,3
Chester,230 E FALLOWFIELD W,President, ,REP,BILL WELD,31,22,9
Chester,230 E FALLOWFIELD W,President, ,REP,Write-In Totals,17,9,8
Chester,230 E FALLOWFIELD W,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,353,166,187
Chester,230 E FALLOWFIELD W,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,351,165,186
Chester,230 E FALLOWFIELD W,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,230 E FALLOWFIELD W,STATE TREASURER, ,REP,STACY L GARRITY,352,165,187
Chester,230 E FALLOWFIELD W,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,230 E FALLOWFIELD W,U.S. House,6,REP,JOHN EMMONS,363,173,190
Chester,230 E FALLOWFIELD W,U.S. House,6,REP,Write-In Totals,0,0,0
Chester,230 E FALLOWFIELD W,State House,74,REP,DALE HENSEL,355,170,185
Chester,230 E FALLOWFIELD W,State House,74,REP,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,Registered Voters, ,,Registered Voters - Total,"1,324",,
Chester,235 W FALLOWFIELD,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,376,,
Chester,235 W FALLOWFIELD,Registered Voters, ,REP,Registered Voters - REPUBLICAN,749,,
Chester,235 W FALLOWFIELD,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,199,,
Chester,235 W FALLOWFIELD,Ballots Cast, , , ,431,218,213
Chester,235 W FALLOWFIELD,Ballots Cast, ,DEM, ,183,132,51
Chester,235 W FALLOWFIELD,Ballots Cast, ,REP, ,248,86,162
Chester,235 W FALLOWFIELD,Ballots Cast, ,NPA, ,0,0,0
Chester,235 W FALLOWFIELD,President, ,DEM,BERNIE SANDERS,21,16,5
Chester,235 W FALLOWFIELD,President, ,DEM,JOSEPH R BIDEN,152,112,40
Chester,235 W FALLOWFIELD,President, ,DEM,TULSI GABBARD,8,3,5
Chester,235 W FALLOWFIELD,President, ,DEM,Write-In Totals,2,1,1
Chester,235 W FALLOWFIELD,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,163,116,47
Chester,235 W FALLOWFIELD,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,3,2,1
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,33,22,11
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,11,9,2
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,3,2,1
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,DEM,NINA AHMAD,36,25,11
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,87,65,22
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,STATE TREASURER, ,DEM,JOE TORSELLA,165,119,46
Chester,235 W FALLOWFIELD,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,U.S. House,6,DEM,CHRISSY HOULAHAN,176,127,49
Chester,235 W FALLOWFIELD,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,State House,13,DEM,RICHARD RUGGIERI,170,124,46
Chester,235 W FALLOWFIELD,State House,13,DEM,Write-In Totals,1,0,1
Chester,235 W FALLOWFIELD,President, ,REP,DONALD J TRUMP,217,63,154
Chester,235 W FALLOWFIELD,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,4,1
Chester,235 W FALLOWFIELD,President, ,REP,BILL WELD,12,10,2
Chester,235 W FALLOWFIELD,President, ,REP,Write-In Totals,6,6,0
Chester,235 W FALLOWFIELD,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,230,79,151
Chester,235 W FALLOWFIELD,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,230,79,151
Chester,235 W FALLOWFIELD,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,STATE TREASURER, ,REP,STACY L GARRITY,232,81,151
Chester,235 W FALLOWFIELD,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,U.S. House,6,REP,JOHN EMMONS,231,81,150
Chester,235 W FALLOWFIELD,U.S. House,6,REP,Write-In Totals,0,0,0
Chester,235 W FALLOWFIELD,State House,13,REP,JOHN LAWRENCE,233,79,154
Chester,235 W FALLOWFIELD,State House,13,REP,Write-In Totals,0,0,0
Chester,240 FRANKLIN,Registered Voters, ,,Registered Voters - Total,"3,382",,
Chester,240 FRANKLIN,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,"1,179",,
Chester,240 FRANKLIN,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,562",,
Chester,240 FRANKLIN,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,641,,
Chester,240 FRANKLIN,Ballots Cast, , , ,"1,076",604,472
Chester,240 FRANKLIN,Ballots Cast, ,DEM, ,581,425,156
Chester,240 FRANKLIN,Ballots Cast, ,REP, ,495,179,316
Chester,240 FRANKLIN,Ballots Cast, ,NPA, ,0,0,0
Chester,240 FRANKLIN,President, ,DEM,BERNIE SANDERS,87,54,33
Chester,240 FRANKLIN,President, ,DEM,JOSEPH R BIDEN,479,364,115
Chester,240 FRANKLIN,President, ,DEM,TULSI GABBARD,8,3,5
Chester,240 FRANKLIN,President, ,DEM,Write-In Totals,5,4,1
Chester,240 FRANKLIN,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,529,392,137
Chester,240 FRANKLIN,ATTORNEY GENERAL, ,DEM,Write-In Totals,3,2,1
Chester,240 FRANKLIN,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,10,5,5
Chester,240 FRANKLIN,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,31,27,4
Chester,240 FRANKLIN,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,49,39,10
Chester,240 FRANKLIN,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,16,12,4
Chester,240 FRANKLIN,AUDITOR GENERAL, ,DEM,NINA AHMAD,184,127,57
Chester,240 FRANKLIN,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,224,175,49
Chester,240 FRANKLIN,AUDITOR GENERAL, ,DEM,Write-In Totals,2,1,1
Chester,240 FRANKLIN,STATE TREASURER, ,DEM,JOE TORSELLA,527,393,134
Chester,240 FRANKLIN,STATE TREASURER, ,DEM,Write-In Totals,3,1,2
Chester,240 FRANKLIN,U.S. House,6,DEM,CHRISSY HOULAHAN,554,410,144
Chester,240 FRANKLIN,U.S. House,6,DEM,Write-In Totals,4,2,2
Chester,240 FRANKLIN,State House,13,DEM,RICHARD RUGGIERI,533,396,137
Chester,240 FRANKLIN,State House,13,DEM,Write-In Totals,4,3,1
Chester,240 FRANKLIN,President, ,REP,DONALD J TRUMP,406,120,286
Chester,240 FRANKLIN,President, ,REP,ROQUE ROCKY DE LA FUENTE,13,8,5
Chester,240 FRANKLIN,President, ,REP,BILL WELD,50,33,17
Chester,240 FRANKLIN,President, ,REP,Write-In Totals,14,11,3
Chester,240 FRANKLIN,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,446,153,293
Chester,240 FRANKLIN,ATTORNEY GENERAL, ,REP,Write-In Totals,4,2,2
Chester,240 FRANKLIN,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,446,155,291
Chester,240 FRANKLIN,AUDITOR GENERAL, ,REP,Write-In Totals,3,2,1
Chester,240 FRANKLIN,STATE TREASURER, ,REP,STACY L GARRITY,445,152,293
Chester,240 FRANKLIN,STATE TREASURER, ,REP,Write-In Totals,4,3,1
Chester,240 FRANKLIN,U.S. House,6,REP,JOHN EMMONS,462,157,305
Chester,240 FRANKLIN,U.S. House,6,REP,Write-In Totals,6,4,2
Chester,240 FRANKLIN,State House,13,REP,JOHN LAWRENCE,471,169,302
Chester,240 FRANKLIN,State House,13,REP,Write-In Totals,6,4,2
Chester,243 E GOSHEN 1,Registered Voters, ,,Registered Voters - Total,"1,689",,
Chester,243 E GOSHEN 1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,554,,
Chester,243 E GOSHEN 1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,896,,
Chester,243 E GOSHEN 1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,239,,
Chester,243 E GOSHEN 1,Ballots Cast, , , ,636,398,238
Chester,243 E GOSHEN 1,Ballots Cast, ,DEM, ,314,252,62
Chester,243 E GOSHEN 1,Ballots Cast, ,REP, ,322,146,176
Chester,243 E GOSHEN 1,Ballots Cast, ,NPA, ,0,0,0
Chester,243 E GOSHEN 1,President, ,DEM,BERNIE SANDERS,48,35,13
Chester,243 E GOSHEN 1,President, ,DEM,JOSEPH R BIDEN,259,212,47
Chester,243 E GOSHEN 1,President, ,DEM,TULSI GABBARD,1,1,0
Chester,243 E GOSHEN 1,President, ,DEM,Write-In Totals,4,3,1
Chester,243 E GOSHEN 1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,288,230,58
Chester,243 E GOSHEN 1,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,0,1
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,7,4,3
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,25,23,2
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,24,22,2
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,10,8,2
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,DEM,NINA AHMAD,112,86,26
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,104,83,21
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,243 E GOSHEN 1,STATE TREASURER, ,DEM,JOE TORSELLA,282,227,55
Chester,243 E GOSHEN 1,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,243 E GOSHEN 1,U.S. House,6,DEM,CHRISSY HOULAHAN,302,241,61
Chester,243 E GOSHEN 1,U.S. House,6,DEM,Write-In Totals,1,1,0
Chester,243 E GOSHEN 1,State House,156,DEM,CAROLYN COMITTA,296,235,61
Chester,243 E GOSHEN 1,State House,156,DEM,Write-In Totals,2,2,0
Chester,243 E GOSHEN 1,President, ,REP,DONALD J TRUMP,247,90,157
Chester,243 E GOSHEN 1,President, ,REP,ROQUE ROCKY DE LA FUENTE,4,2,2
Chester,243 E GOSHEN 1,President, ,REP,BILL WELD,40,30,10
Chester,243 E GOSHEN 1,President, ,REP,Write-In Totals,12,8,4
Chester,243 E GOSHEN 1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,295,128,167
Chester,243 E GOSHEN 1,ATTORNEY GENERAL, ,REP,Write-In Totals,2,2,0
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,295,128,167
Chester,243 E GOSHEN 1,AUDITOR GENERAL, ,REP,Write-In Totals,2,2,0
Chester,243 E GOSHEN 1,STATE TREASURER, ,REP,STACY L GARRITY,292,128,164
Chester,243 E GOSHEN 1,STATE TREASURER, ,REP,Write-In Totals,3,2,1
Chester,243 E GOSHEN 1,U.S. House,6,REP,JOHN EMMONS,300,133,167
Chester,243 E GOSHEN 1,U.S. House,6,REP,Write-In Totals,3,3,0
Chester,243 E GOSHEN 1,State House,156,REP,LEN IACONO,293,129,164
Chester,243 E GOSHEN 1,State House,156,REP,Write-In Totals,3,2,1
Chester,244 E GOSHEN 2,Registered Voters, ,,Registered Voters - Total,"1,432",,
Chester,244 E GOSHEN 2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,498,,
Chester,244 E GOSHEN 2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,703,,
Chester,244 E GOSHEN 2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,231,,
Chester,244 E GOSHEN 2,Ballots Cast, , , ,472,300,172
Chester,244 E GOSHEN 2,Ballots Cast, ,DEM, ,264,201,63
Chester,244 E GOSHEN 2,Ballots Cast, ,REP, ,208,99,109
Chester,244 E GOSHEN 2,Ballots Cast, ,NPA, ,0,0,0
Chester,244 E GOSHEN 2,President, ,DEM,BERNIE SANDERS,36,22,14
Chester,244 E GOSHEN 2,President, ,DEM,JOSEPH R BIDEN,213,170,43
Chester,244 E GOSHEN 2,President, ,DEM,TULSI GABBARD,7,6,1
Chester,244 E GOSHEN 2,President, ,DEM,Write-In Totals,5,3,2
Chester,244 E GOSHEN 2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,231,179,52
Chester,244 E GOSHEN 2,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,3,3,0
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,23,20,3
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,9,8,1
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,3,2,1
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,DEM,NINA AHMAD,108,81,27
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,78,58,20
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,244 E GOSHEN 2,STATE TREASURER, ,DEM,JOE TORSELLA,224,174,50
Chester,244 E GOSHEN 2,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,244 E GOSHEN 2,U.S. House,6,DEM,CHRISSY HOULAHAN,244,188,56
Chester,244 E GOSHEN 2,U.S. House,6,DEM,Write-In Totals,1,1,0
Chester,244 E GOSHEN 2,State House,156,DEM,CAROLYN COMITTA,240,184,56
Chester,244 E GOSHEN 2,State House,156,DEM,Write-In Totals,2,1,1
Chester,244 E GOSHEN 2,President, ,REP,DONALD J TRUMP,175,76,99
Chester,244 E GOSHEN 2,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,4,1
Chester,244 E GOSHEN 2,President, ,REP,BILL WELD,14,12,2
Chester,244 E GOSHEN 2,President, ,REP,Write-In Totals,4,2,2
Chester,244 E GOSHEN 2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,198,93,105
Chester,244 E GOSHEN 2,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,197,94,103
Chester,244 E GOSHEN 2,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,244 E GOSHEN 2,STATE TREASURER, ,REP,STACY L GARRITY,196,92,104
Chester,244 E GOSHEN 2,STATE TREASURER, ,REP,Write-In Totals,1,0,1
Chester,244 E GOSHEN 2,U.S. House,6,REP,JOHN EMMONS,201,94,107
Chester,244 E GOSHEN 2,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,244 E GOSHEN 2,State House,156,REP,LEN IACONO,197,92,105
Chester,244 E GOSHEN 2,State House,156,REP,Write-In Totals,1,1,0
Chester,245 E GOSHEN 3,Registered Voters, ,,Registered Voters - Total,"1,425",,
Chester,245 E GOSHEN 3,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,538,,
Chester,245 E GOSHEN 3,Registered Voters, ,REP,Registered Voters - REPUBLICAN,668,,
Chester,245 E GOSHEN 3,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,219,,
Chester,245 E GOSHEN 3,Ballots Cast, , , ,548,346,202
Chester,245 E GOSHEN 3,Ballots Cast, ,DEM, ,290,238,52
Chester,245 E GOSHEN 3,Ballots Cast, ,REP, ,258,108,150
Chester,245 E GOSHEN 3,Ballots Cast, ,NPA, ,0,0,0
Chester,245 E GOSHEN 3,President, ,DEM,BERNIE SANDERS,40,32,8
Chester,245 E GOSHEN 3,President, ,DEM,JOSEPH R BIDEN,243,202,41
Chester,245 E GOSHEN 3,President, ,DEM,TULSI GABBARD,2,1,1
Chester,245 E GOSHEN 3,President, ,DEM,Write-In Totals,5,3,2
Chester,245 E GOSHEN 3,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,270,224,46
Chester,245 E GOSHEN 3,ATTORNEY GENERAL, ,DEM,Write-In Totals,2,0,2
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,12,9,3
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,16,12,4
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,31,29,2
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,6,5,1
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,DEM,NINA AHMAD,108,87,21
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,83,67,16
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,DEM,Write-In Totals,2,1,1
Chester,245 E GOSHEN 3,STATE TREASURER, ,DEM,JOE TORSELLA,260,215,45
Chester,245 E GOSHEN 3,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,245 E GOSHEN 3,U.S. House,6,DEM,CHRISSY HOULAHAN,279,230,49
Chester,245 E GOSHEN 3,U.S. House,6,DEM,Write-In Totals,2,0,2
Chester,245 E GOSHEN 3,State House,156,DEM,CAROLYN COMITTA,274,226,48
Chester,245 E GOSHEN 3,State House,156,DEM,Write-In Totals,2,0,2
Chester,245 E GOSHEN 3,President, ,REP,DONALD J TRUMP,210,72,138
Chester,245 E GOSHEN 3,President, ,REP,ROQUE ROCKY DE LA FUENTE,8,7,1
Chester,245 E GOSHEN 3,President, ,REP,BILL WELD,21,15,6
Chester,245 E GOSHEN 3,President, ,REP,Write-In Totals,16,11,5
Chester,245 E GOSHEN 3,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,243,100,143
Chester,245 E GOSHEN 3,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,243,100,143
Chester,245 E GOSHEN 3,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,245 E GOSHEN 3,STATE TREASURER, ,REP,STACY L GARRITY,242,100,142
Chester,245 E GOSHEN 3,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,245 E GOSHEN 3,U.S. House,6,REP,JOHN EMMONS,251,103,148
Chester,245 E GOSHEN 3,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,245 E GOSHEN 3,State House,156,REP,LEN IACONO,242,99,143
Chester,245 E GOSHEN 3,State House,156,REP,Write-In Totals,3,2,1
Chester,246 E GOSHEN 4,Registered Voters, ,,Registered Voters - Total,"2,159",,
Chester,246 E GOSHEN 4,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,"1,085",,
Chester,246 E GOSHEN 4,Registered Voters, ,REP,Registered Voters - REPUBLICAN,715,,
Chester,246 E GOSHEN 4,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,359,,
Chester,246 E GOSHEN 4,Ballots Cast, , , ,709,424,285
Chester,246 E GOSHEN 4,Ballots Cast, ,DEM, ,482,322,160
Chester,246 E GOSHEN 4,Ballots Cast, ,REP, ,227,102,125
Chester,246 E GOSHEN 4,Ballots Cast, ,NPA, ,0,0,0
Chester,246 E GOSHEN 4,President, ,DEM,BERNIE SANDERS,93,63,30
Chester,246 E GOSHEN 4,President, ,DEM,JOSEPH R BIDEN,371,251,120
Chester,246 E GOSHEN 4,President, ,DEM,TULSI GABBARD,3,2,1
Chester,246 E GOSHEN 4,President, ,DEM,Write-In Totals,5,3,2
Chester,246 E GOSHEN 4,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,440,299,141
Chester,246 E GOSHEN 4,ATTORNEY GENERAL, ,DEM,Write-In Totals,2,1,1
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,12,5,7
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,13,10,3
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,27,22,5
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,16,7,9
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,DEM,NINA AHMAD,230,163,67
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,139,88,51
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,246 E GOSHEN 4,STATE TREASURER, ,DEM,JOE TORSELLA,437,298,139
Chester,246 E GOSHEN 4,STATE TREASURER, ,DEM,Write-In Totals,3,1,2
Chester,246 E GOSHEN 4,U.S. House,6,DEM,CHRISSY HOULAHAN,456,312,144
Chester,246 E GOSHEN 4,U.S. House,6,DEM,Write-In Totals,2,1,1
Chester,246 E GOSHEN 4,State House,156,DEM,CAROLYN COMITTA,453,307,146
Chester,246 E GOSHEN 4,State House,156,DEM,Write-In Totals,2,1,1
Chester,246 E GOSHEN 4,President, ,REP,DONALD J TRUMP,178,72,106
Chester,246 E GOSHEN 4,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,2,3
Chester,246 E GOSHEN 4,President, ,REP,BILL WELD,22,12,10
Chester,246 E GOSHEN 4,President, ,REP,Write-In Totals,13,10,3
Chester,246 E GOSHEN 4,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,206,92,114
Chester,246 E GOSHEN 4,ATTORNEY GENERAL, ,REP,Write-In Totals,2,2,0
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,202,91,111
Chester,246 E GOSHEN 4,AUDITOR GENERAL, ,REP,Write-In Totals,3,2,1
Chester,246 E GOSHEN 4,STATE TREASURER, ,REP,STACY L GARRITY,203,92,111
Chester,246 E GOSHEN 4,STATE TREASURER, ,REP,Write-In Totals,2,1,1
Chester,246 E GOSHEN 4,U.S. House,6,REP,JOHN EMMONS,212,94,118
Chester,246 E GOSHEN 4,U.S. House,6,REP,Write-In Totals,2,2,0
Chester,246 E GOSHEN 4,State House,156,REP,LEN IACONO,207,93,114
Chester,246 E GOSHEN 4,State House,156,REP,Write-In Totals,1,1,0
Chester,247 E GOSHEN 5,Registered Voters, ,,Registered Voters - Total,"1,976",,
Chester,247 E GOSHEN 5,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,623,,
Chester,247 E GOSHEN 5,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,157",,
Chester,247 E GOSHEN 5,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,196,,
Chester,247 E GOSHEN 5,Ballots Cast, , , ,943,746,197
Chester,247 E GOSHEN 5,Ballots Cast, ,DEM, ,443,409,34
Chester,247 E GOSHEN 5,Ballots Cast, ,REP, ,500,337,163
Chester,247 E GOSHEN 5,Ballots Cast, ,NPA, ,0,0,0
Chester,247 E GOSHEN 5,President, ,DEM,BERNIE SANDERS,9,7,2
Chester,247 E GOSHEN 5,President, ,DEM,JOSEPH R BIDEN,414,383,31
Chester,247 E GOSHEN 5,President, ,DEM,TULSI GABBARD,3,3,0
Chester,247 E GOSHEN 5,President, ,DEM,Write-In Totals,11,11,0
Chester,247 E GOSHEN 5,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,403,374,29
Chester,247 E GOSHEN 5,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,247 E GOSHEN 5,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,10,10,0
Chester,247 E GOSHEN 5,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,33,32,1
Chester,247 E GOSHEN 5,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,20,20,0
Chester,247 E GOSHEN 5,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9,9,0
Chester,247 E GOSHEN 5,AUDITOR GENERAL, ,DEM,NINA AHMAD,129,118,11
Chester,247 E GOSHEN 5,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,190,174,16
Chester,247 E GOSHEN 5,AUDITOR GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,247 E GOSHEN 5,STATE TREASURER, ,DEM,JOE TORSELLA,401,371,30
Chester,247 E GOSHEN 5,STATE TREASURER, ,DEM,Write-In Totals,1,1,0
Chester,247 E GOSHEN 5,U.S. House,6,DEM,CHRISSY HOULAHAN,434,400,34
Chester,247 E GOSHEN 5,U.S. House,6,DEM,Write-In Totals,1,1,0
Chester,247 E GOSHEN 5,State House,156,DEM,CAROLYN COMITTA,428,395,33
